image_path,defect_type,label,image_score,mask_sum
C:\Users\HP\data\carpet\test\color\000.png,color,1,0.1681847870349884,3858.0
C:\Users\HP\data\carpet\test\color\001.png,color,1,0.17535103857517242,1362.0
C:\Users\HP\data\carpet\test\color\002.png,color,1,0.20234689116477966,1578.0
C:\Users\HP\data\carpet\test\color\003.png,color,1,0.19521918892860413,766.0
C:\Users\HP\data\carpet\test\color\004.png,color,1,0.19711871445178986,1364.0
C:\Users\HP\data\carpet\test\color\005.png,color,1,0.2045792192220688,1070.0
C:\Users\HP\data\carpet\test\color\006.png,color,1,0.1854063868522644,1586.0
C:\Users\HP\data\carpet\test\color\007.png,color,1,0.18320505321025848,1033.0
C:\Users\HP\data\carpet\test\color\008.png,color,1,0.18584926426410675,4116.0
C:\Users\HP\data\carpet\test\color\009.png,color,1,0.1881393939256668,2037.0
C:\Users\HP\data\carpet\test\color\010.png,color,1,0.196634441614151,1377.0
C:\Users\HP\data\carpet\test\color\011.png,color,1,0.1812019944190979,226.0
C:\Users\HP\data\carpet\test\color\012.png,color,1,0.1889536827802658,432.0
C:\Users\HP\data\carpet\test\color\013.png,color,1,0.1909012347459793,275.0
C:\Users\HP\data\carpet\test\color\014.png,color,1,0.19137287139892578,370.0
C:\Users\HP\data\carpet\test\color\015.png,color,1,0.19722212851047516,452.0
C:\Users\HP\data\carpet\test\color\016.png,color,1,0.2234698086977005,592.0
C:\Users\HP\data\carpet\test\color\017.png,color,1,0.21154281497001648,575.0
C:\Users\HP\data\carpet\test\color\018.png,color,1,0.2191096395254135,289.0
C:\Users\HP\data\carpet\test\cut\000.png,cut,1,0.19553688168525696,3773.0
C:\Users\HP\data\carpet\test\cut\001.png,cut,1,0.18514366447925568,2218.0
C:\Users\HP\data\carpet\test\cut\002.png,cut,1,0.18527789413928986,2567.0
C:\Users\HP\data\carpet\test\cut\003.png,cut,1,0.1842634379863739,2657.0
C:\Users\HP\data\carpet\test\cut\004.png,cut,1,0.19126030802726746,2086.0
C:\Users\HP\data\carpet\test\cut\005.png,cut,1,0.18774379789829254,2090.0
C:\Users\HP\data\carpet\test\cut\006.png,cut,1,0.18877717852592468,3021.0
C:\Users\HP\data\carpet\test\cut\007.png,cut,1,0.1828637272119522,2851.0
C:\Users\HP\data\carpet\test\cut\008.png,cut,1,0.192220538854599,2522.0
C:\Users\HP\data\carpet\test\cut\009.png,cut,1,0.2111605852842331,5260.0
C:\Users\HP\data\carpet\test\cut\010.png,cut,1,0.2100110501050949,3567.0
C:\Users\HP\data\carpet\test\cut\011.png,cut,1,0.21613618731498718,3399.0
C:\Users\HP\data\carpet\test\cut\012.png,cut,1,0.1965087652206421,4787.0
C:\Users\HP\data\carpet\test\cut\013.png,cut,1,0.1780366152524948,3809.0
C:\Users\HP\data\carpet\test\cut\014.png,cut,1,0.19761158525943756,2532.0
C:\Users\HP\data\carpet\test\cut\015.png,cut,1,0.2127387821674347,4580.0
C:\Users\HP\data\carpet\test\cut\016.png,cut,1,0.20548060536384583,2767.0
C:\Users\HP\data\carpet\test\good\000.png,good,0,0.18798041343688965,0.0
C:\Users\HP\data\carpet\test\good\001.png,good,0,0.18449907004833221,0.0
C:\Users\HP\data\carpet\test\good\002.png,good,0,0.22036463022232056,0.0
C:\Users\HP\data\carpet\test\good\003.png,good,0,0.20349454879760742,0.0
C:\Users\HP\data\carpet\test\good\004.png,good,0,0.20917028188705444,0.0
C:\Users\HP\data\carpet\test\good\005.png,good,0,0.2099975347518921,0.0
C:\Users\HP\data\carpet\test\good\006.png,good,0,0.2170499563217163,0.0
C:\Users\HP\data\carpet\test\good\007.png,good,0,0.21632170677185059,0.0
C:\Users\HP\data\carpet\test\good\008.png,good,0,0.22302605211734772,0.0
C:\Users\HP\data\carpet\test\good\009.png,good,0,0.22669808566570282,0.0
C:\Users\HP\data\carpet\test\good\010.png,good,0,0.1948937624692917,0.0
C:\Users\HP\data\carpet\test\good\011.png,good,0,0.19957201182842255,0.0
C:\Users\HP\data\carpet\test\good\012.png,good,0,0.23606380820274353,0.0
C:\Users\HP\data\carpet\test\good\013.png,good,0,0.23361550271511078,0.0
C:\Users\HP\data\carpet\test\good\014.png,good,0,0.24214403331279755,0.0
C:\Users\HP\data\carpet\test\good\015.png,good,0,0.22336997091770172,0.0
C:\Users\HP\data\carpet\test\good\016.png,good,0,0.19507555663585663,0.0
C:\Users\HP\data\carpet\test\good\017.png,good,0,0.19781121611595154,0.0
C:\Users\HP\data\carpet\test\good\018.png,good,0,0.1907183676958084,0.0
C:\Users\HP\data\carpet\test\good\019.png,good,0,0.19111810624599457,0.0
C:\Users\HP\data\carpet\test\good\020.png,good,0,0.1896623820066452,0.0
C:\Users\HP\data\carpet\test\good\021.png,good,0,0.1833660900592804,0.0
C:\Users\HP\data\carpet\test\good\022.png,good,0,0.1885439157485962,0.0
C:\Users\HP\data\carpet\test\good\023.png,good,0,0.18841829895973206,0.0
C:\Users\HP\data\carpet\test\good\024.png,good,0,0.18372727930545807,0.0
C:\Users\HP\data\carpet\test\good\025.png,good,0,0.1872536987066269,0.0
C:\Users\HP\data\carpet\test\good\026.png,good,0,0.1914319097995758,0.0
C:\Users\HP\data\carpet\test\good\027.png,good,0,0.1878747195005417,0.0
C:\Users\HP\data\carpet\test\hole\000.png,hole,1,0.23380377888679504,774.0
C:\Users\HP\data\carpet\test\hole\001.png,hole,1,0.18930545449256897,447.0
C:\Users\HP\data\carpet\test\hole\002.png,hole,1,0.19149725139141083,1171.0
C:\Users\HP\data\carpet\test\hole\003.png,hole,1,0.2345830351114273,1861.0
C:\Users\HP\data\carpet\test\hole\004.png,hole,1,0.2242422252893448,1010.0
C:\Users\HP\data\carpet\test\hole\005.png,hole,1,0.19088242948055267,1856.0
C:\Users\HP\data\carpet\test\hole\006.png,hole,1,0.19881682097911835,1873.0
C:\Users\HP\data\carpet\test\hole\007.png,hole,1,0.19148723781108856,2174.0
C:\Users\HP\data\carpet\test\hole\008.png,hole,1,0.2183651477098465,2472.0
C:\Users\HP\data\carpet\test\hole\009.png,hole,1,0.2086881399154663,3694.0
C:\Users\HP\data\carpet\test\hole\010.png,hole,1,0.20213527977466583,984.0
C:\Users\HP\data\carpet\test\hole\011.png,hole,1,0.2001688927412033,970.0
C:\Users\HP\data\carpet\test\hole\012.png,hole,1,0.19300957024097443,1340.0
C:\Users\HP\data\carpet\test\hole\013.png,hole,1,0.19019126892089844,1211.0
C:\Users\HP\data\carpet\test\hole\014.png,hole,1,0.20356501638889313,812.0
C:\Users\HP\data\carpet\test\hole\015.png,hole,1,0.19561369717121124,839.0
C:\Users\HP\data\carpet\test\hole\016.png,hole,1,0.19619977474212646,1629.0
C:\Users\HP\data\carpet\test\metal_contamination\000.png,metal_contamination,1,0.17886009812355042,109.0
C:\Users\HP\data\carpet\test\metal_contamination\001.png,metal_contamination,1,0.17906779050827026,209.0
C:\Users\HP\data\carpet\test\metal_contamination\002.png,metal_contamination,1,0.18273425102233887,379.0
C:\Users\HP\data\carpet\test\metal_contamination\003.png,metal_contamination,1,0.18957853317260742,218.0
C:\Users\HP\data\carpet\test\metal_contamination\004.png,metal_contamination,1,0.18610800802707672,364.0
C:\Users\HP\data\carpet\test\metal_contamination\005.png,metal_contamination,1,0.17816898226737976,609.0
C:\Users\HP\data\carpet\test\metal_contamination\006.png,metal_contamination,1,0.18118968605995178,298.0
C:\Users\HP\data\carpet\test\metal_contamination\007.png,metal_contamination,1,0.176604226231575,883.0
C:\Users\HP\data\carpet\test\metal_contamination\008.png,metal_contamination,1,0.17762523889541626,368.0
C:\Users\HP\data\carpet\test\metal_contamination\009.png,metal_contamination,1,0.17783446609973907,293.0
C:\Users\HP\data\carpet\test\metal_contamination\010.png,metal_contamination,1,0.17512372136116028,399.0
C:\Users\HP\data\carpet\test\metal_contamination\011.png,metal_contamination,1,0.17964313924312592,208.0
C:\Users\HP\data\carpet\test\metal_contamination\012.png,metal_contamination,1,0.18001815676689148,235.0
C:\Users\HP\data\carpet\test\metal_contamination\013.png,metal_contamination,1,0.18362338840961456,202.0
C:\Users\HP\data\carpet\test\metal_contamination\014.png,metal_contamination,1,0.17728076875209808,198.0
C:\Users\HP\data\carpet\test\metal_contamination\015.png,metal_contamination,1,0.1840444654226303,257.0
C:\Users\HP\data\carpet\test\metal_contamination\016.png,metal_contamination,1,0.17718179523944855,208.0
C:\Users\HP\data\carpet\test\thread\000.png,thread,1,0.19284725189208984,416.0
C:\Users\HP\data\carpet\test\thread\001.png,thread,1,0.18215568363666534,193.0
C:\Users\HP\data\carpet\test\thread\002.png,thread,1,0.18786297738552094,290.0
C:\Users\HP\data\carpet\test\thread\003.png,thread,1,0.19332057237625122,117.0
C:\Users\HP\data\carpet\test\thread\004.png,thread,1,0.22279448807239532,953.0
C:\Users\HP\data\carpet\test\thread\005.png,thread,1,0.24900703132152557,1116.0
C:\Users\HP\data\carpet\test\thread\006.png,thread,1,0.23678046464920044,1354.0
C:\Users\HP\data\carpet\test\thread\007.png,thread,1,0.2190987914800644,562.0
C:\Users\HP\data\carpet\test\thread\008.png,thread,1,0.25600466132164,1648.0
C:\Users\HP\data\carpet\test\thread\009.png,thread,1,0.2123313844203949,127.0
C:\Users\HP\data\carpet\test\thread\010.png,thread,1,0.21937379240989685,410.0
C:\Users\HP\data\carpet\test\thread\011.png,thread,1,0.20968033373355865,212.0
C:\Users\HP\data\carpet\test\thread\012.png,thread,1,0.19579818844795227,1834.0
C:\Users\HP\data\carpet\test\thread\013.png,thread,1,0.21241264045238495,3517.0
C:\Users\HP\data\carpet\test\thread\014.png,thread,1,0.17183318734169006,340.0
C:\Users\HP\data\carpet\test\thread\015.png,thread,1,0.17967793345451355,422.0
C:\Users\HP\data\carpet\test\thread\016.png,thread,1,0.19142229855060577,315.0
C:\Users\HP\data\carpet\test\thread\017.png,thread,1,0.2016211599111557,674.0

